X	Y
0	750.2465165
0.3	1104.899763
0.6	1253.273783
0.9	-280.8745245
1.2	889.5333545
1.5	629.7906856
1.8	317.1704018
2.1	880.7553864
2.4	476.1220065
2.7	244.7867754
3	1207.831058
3.3	489.5767192
3.6	815.0498593
3.9	1216.331551
4.2	183.8600452
4.5	880.7522653
4.8	600.3069157
5	4200
5.1	288.8465195
5.4	1158.37342
5.7	-53.314206
6	20.31039444
6.3	1160.134426
6.6	1145.534746
6.9	1311.84917
7.2	1701.11018
7.5	1155.825334
7.8	1237.494909
8.1	1168.567851
8.4	855.1962988
8.7	1855.130842
9	1508.810869
9.3	830.2812259
9.6	816.5448422
9.9	2336.371067
10.2	1846.25876
10.5	1144.493181
10.8	1308.258258
11.1	1864.680816
11.4	2340.662144
11.7	2081.237961
12	1948.978192
12.01	4000
12.3	1617.483314
12.6	2608.450974
12.9	2469.708974
13.2	3129.053754
13.5	3481.129916
13.8	3449.12247
14.1	2439.520123
14.4	2694.386798
14.7	2978.755503
15	3682.210933
15.3	3330.773664
15.6	3711.64671
15.9	3425.508975
16	7500
16.2	3991.558652
16.5	4282.177506
16.8	4752.10988
17	8000
17.1	5172.584001
17.4	4295.934119
17.7	4934.454944
18	6024.432171
18.3	5468.716391
18.6	5831.091666
18.9	6219.107076
19.2	6862.80236
19.5	6856.609195
19.8	6665.259102
20.1	6674.781649
20.4	6868.670545
20.7	7188.399809
21	7687.211383
21.3	8038.50943
21.6	8136.320699
21.9	9378.831843
22.2	9662.302579
22.5	9384.006568
22.8	10797.58335
