month	day	hour	PM2.5	PM10	SO2	NO2	CO	O3	TEMP
3	1	12	8	8	3	12	300	64	2.8
3	2	12	19	22	17	45	600	37	2.1
3	3	12	95	106	60	73	1700	28	11.8
3	4	12	3	7	5	15	500	83	13.4
3	5	12	127	147	76	68	1800	33	12.3
3	6	12	160	174	103	87	2700	61	9.7
3	7	12	263	264	134	138	3200	26	15.8
3	8	12	212	197	67	94	2100	98	17.7
3	9	12	NA	NA	NA	NA	NA	90	12.7
3	10	12	24	45	21	49	800	43	11.1
3	11	12	142	175	150	74	1800	68	9.3
3	12	12	128	96	12	61	1600	56	4.6
3	13	12	3	6	8	8	300	74	5.9
3	14	12	94	112	57	56	1300	83	6.5
3	15	12	251	270	94	102	2299	12	9.2
3	16	12	199	141	85	70	1600	58	14.6
3	17	12	235	270	112	90	2500	105	12.5
3	18	12	10	6	3	9	300	107	10.3
3	19	12	34	37	3	20	600	48	3.8
3	20	12	32	6	4	52	800	43	3.9
3	21	12	99	115	54	47	1399	42	6.8
3	22	12	43	121	28	28	800	55	8.8
3	23	12	65	67	63	49	1600	36	5.5
3	24	12	4	6	3	10	300	76	7.2
3	25	12	91	101	55	56	NA	46.6956	8.6
3	26	12	218	230	53	76	1600	21	10.5
3	27	12	174	177	43	42	1300	61	17.5
3	28	12	12	43	3	20	400	67	10.7
3	29	12	47	29	23	38	2000	60	9
3	30	12	68	88	56	33	1500	72	9.7
3	31	12	170	180	5	40	1100	21	6.3
4	1	12	174	132	39	61	2000	49	14.1
4	2	12	159	187	45	102	1899	44	15.4
4	3	12	149	202	42	45	1800	127	18.9
4	4	12	66	99	69	69	2299	34	10.6
4	5	12	35	35	4	32	1200	45	13.9
4	6	12	12	12	3	15	300	82	12.7
4	7	12	62	79	38	37	1300	62	13.1
4	8	12	14	56	4	17	500	52	11.4
4	9	12	10	11	3	10	600	80	11.4
4	10	12	11	11	3	12	900	60.4044	11.8
4	11	12	11	5	3	9	NA	92.9628	15
4	12	12	70	84	23	79	1600	44	17.6
4	13	12	75	114	28	41	1500	79	23.6
4	14	12	14	29	4	25	300	70	14.8
4	15	12	89	155	102	50	2399	84	18
4	16	12	43	153	20	16	600	106	19.7
4	17	12	36	54	33	22	800	89	15
4	18	12	5	13	3	6	300	85	12.5
4	19	12	48	65	7	38	800	43	8.2
4	20	12	73	78	14	31	900	88	15.2
4	21	12	157	168	28	60	1300	67	16.2
4	22	12	162	170	45	43	1200	68	14.4
4	23	12	225	201	22	53	1399	21	13.2
4	24	12	53	61	14	42	900	53	24.2
4	25	12	7	41	3	13	400	54	20.3
4	26	12	67	109	24	56	700	74	23
4	27	12	36	76	35	21	1000	115	22.8
4	28	12	85	147	74	37	2200	115	17.3
4	29	12	8	35	3	14	400	96	26.7
4	30	12	10	16	3	9	300	111	26.2
5	1	12	20	54	13	33	700	87	22.8
5	2	12	68	110	36	30	1300	127	22
5	3	12	54	66	16	20	900	129	21
5	4	12	96	148	39	32	900	120	23.7
5	5	12	160	189	60	32	1300	162	25.7
5	6	12	272	276	36	42	1600	200	28.4
5	7	12	198	263	29	67	1500	106	27.8
5	8	12	133	225	123	57	2700	115	23.4
5	9	12	21	37	7	25	400	92	18.4
5	10	12	26	98	3	12	300	101	28.1
5	11	12	21	56	3	25	400	76	32.4
5	12	12	13	55	4	10	300	99	28.3
5	13	12	48	106	49	24	1300	132	26
5	14	12	28	114	3	8	300	105	28.5
5	15	12	64	150	71	31	1600	130	26.4
5	16	12	49	58	30	43	NA	125.9496	25.1
5	17	12	94	108	49	41	1399	84	22
5	18	12	175	112	34	34	1200	108	23.2
5	19	12	118	143	13	31	800	62	25
5	20	12	59	64	6	29	400	87	27.2
5	21	12	86	136	30	21	700	156	27.6
5	22	12	88	219	65	34	1800	177	28.1
5	23	12	78	101	44	63	1399	71	27.7
5	24	12	29	101	4	10	700	104	29.4
5	25	12	33	57	8	36	600	114	28.9
5	26	12	130	154	43	51	3399	49	23.2
5	27	12	53	37	3	12	700	88	21.2
5	28	12	113	116	3	65	1399	7	21.6
5	29	12	5	26	3	12	200	72	29
5	30	12	82	181	20	58	600	106	32.8
5	31	12	116	191	14	32	900	136	28.1
6	1	12	21	21	3	8	200	108	30.4
6	2	12	260	310	28	59	4500	70	23.4
6	3	12	83	83	6	11	800	154	32.1
